title,Consumerism,"Drinking, Drugs & Smoking",Educational Value,Language,MPAA_rating,Positive Messages,Sex,Sexy Stuff,Violence,Violence & Scariness,age,genre,movie_id,one_line_description,overall_rating,slug,MPAA_ordinal,is_educational,has_Sexy_Stuff,has_Violence_&_Scariness
The Little Ghost,0.0,0.0,,0.0,PG,1.0,0.0,0.0,0.0,2.0,8,Family and Kids,2438,"No scares, mild peril in subtitled animated film.",3,the-little-ghost,1,0,1,1
Neighbors,2.0,5.0,,5.0,R,2.0,4.0,,1.0,,17,Comedy,2439,Laugh-aloud raunchy humor masks messages about adulthood.,4,neighbors,3,0,0,0
Bold Eagles,0.0,0.0,1.0,1.0,NR,4.0,0.0,1.0,0.0,2.0,6,Family and Kids,2440,"Animated tale with positive messages, a few harsh scenes.",3,bold-eagles,4,1,1,1
"Mummy, I'm a Zombie",0.0,0.0,,1.0,PG,1.0,0.0,,2.0,,10,Family and Kids,2441,Zombies and high school issues in mildly scary sequel.,2,mummy-im-a-zombie,1,0,0,0
Leafie: A Hen into the Wild,0.0,0.0,,0.0,NR,3.0,0.0,0.0,0.0,3.0,8,Family and Kids,2442,"Heartfelt, intense adoption story has some scary scenes.",3,leafie-a-hen-into-the-wild,4,0,1,1
Saw,0.0,2.0,,4.0,R,0.0,2.0,,5.0,,18,Horror,2443,"""Torture porn"" gore-fest is more grisly than scary.",1,saw,3,0,0,0
Postman Pat: The Movie,2.0,0.0,1.0,0.0,NR,4.0,0.0,0.0,0.0,3.0,6,Family and Kids,2444,"Cute British adventure has positive messages, scary robots.",3,postman-pat-the-movie,4,1,1,1
The Fault in Our Stars,2.0,3.0,,3.0,PG-13,4.0,3.0,,2.0,,14,Romance,2445,Heartbreaking love story is a must-see for fans of the book.,4,the-fault-in-our-stars,2,0,0,0
Think Like a Man Too,3.0,3.0,,3.0,PG-13,3.0,3.0,,1.0,,15,Comedy,2446,"Fans will enjoy slightly less funny, still risqué sequel.",3,think-like-a-man-too,2,0,0,0
Slugterra: Return of the Elementals,3.0,0.0,0.0,0.0,NR,3.0,0.0,0.0,0.0,2.0,7,Family and Kids,2447,Entertaining animated adventure is best for Slugterra fans.,3,slugterra-return-of-the-elementals,4,1,1,1
The Roosevelts: An Intimate History,0.0,1.0,,1.0,NR,3.0,0.0,,1.0,,11,Documentary,2448,"Lots of historical detail in evenhanded, traditional docu.",4,the-roosevelts-an-intimate-history,4,0,0,0
Thomas &amp; Friends: Tale of the Brave,3.0,0.0,1.0,1.0,NR,3.0,0.0,0.0,0.0,2.0,4,Family and Kids,2449,Percy learns about bravery; scarier than past Thomas titles.,3,thomas-friends-tale-of-the-brave,4,1,1,1
As Dreamers Do: The Amazing Life of Walt Disney,0.0,2.0,,1.0,NR,3.0,0.0,,0.0,1.0,8,Family and Kids,2450,"Unauthorized, overacted Disney biopic falls flat.",2,as-dreamers-do-the-amazing-life-of-walt-disney,4,0,0,1
Godzilla,1.0,1.0,,2.0,PG-13,2.0,1.0,,3.0,,12,Science Fiction,2451,Iconic movie monster once again wreaks massive destruction.,3,godzilla-0,2,0,0,0
Petals on the Wind,0.0,2.0,,2.0,NR,0.0,4.0,,3.0,,16,Drama,2452,"Incest, murder, and gothic goings-on in book adaptation.",3,petals-on-the-wind,4,0,0,0
Barbie and the Secret Door,3.0,0.0,0.0,0.0,NR,3.0,0.0,0.0,0.0,1.0,5,Family and Kids,2453,Magical tale with an engaging story and positive messages.,4,barbie-and-the-secret-door,4,1,1,1
Ghostbusters,2.0,3.0,,3.0,PG,3.0,3.0,,3.0,,11,Comedy,2454,"Paranormal '80s classic has some scares, innuendo.",4,ghostbusters,1,0,0,0
I Am Eleven,0.0,0.0,,0.0,NR,3.0,1.0,,2.0,,10,Documentary,2455,"Charming, thought-provoking global docu about childhood.",4,i-am-eleven,4,0,0,0
Captain America: The Winter Soldier,3.0,1.0,,3.0,PG-13,2.0,1.0,,4.0,,13,Action/Adventure,2456,"Heavy fantasy violence, but no sex in superhero sequel.",3,captain-america-the-winter-soldier,2,0,0,0
Brick Mansions,0.0,3.0,,3.0,PG-13,1.0,2.0,,3.0,,14,Action/Adventure,2457,"Great parkour, cartoonish violence in dumb remake.",2,brick-mansions,2,0,0,0
Teenage,0.0,3.0,,2.0,NR,2.0,3.0,,2.0,,14,Documentary,2458,Insightful docu traces historical evolution of adolescence.,3,teenage,4,0,0,0
Palo Alto,2.0,4.0,,4.0,R,1.0,3.0,,3.0,,16,Drama,2459,"Moody coming-of-age drama has sex, drinking, language.",3,palo-alto,3,0,0,0
A Long Way Down,2.0,3.0,,4.0,R,3.0,3.0,,1.0,,15,Comedy,2460,"Awkward dark comedy has heavy themes, language, drinking.",2,a-long-way-down,3,0,0,0
Louder Than Words,0.0,2.0,,3.0,PG-13,3.0,2.0,,1.0,,13,Drama,2461,Earnest family drama about coping with tragedy is very sad.,2,louder-than-words,2,0,0,0
My Man Is a Loser,2.0,4.0,,4.0,R,2.0,4.0,,1.0,,17,Romance,2462,"Predictable romcom has strong language, drinking, sex.",2,my-man-is-a-loser,3,0,0,0
Henry &amp; Me,3.0,0.0,,0.0,PG,5.0,0.0,,0.0,,10,Family and Kids,2463,NY Yankees inspire cancer-stricken boy in animated film.,3,henry-me,1,0,0,0
Fed Up,2.0,0.0,,1.0,PG,3.0,0.0,,0.0,,10,Documentary,2464,"Informative, engrossing docu about saying no to sugar.",4,fed-up,1,0,0,0
Words and Pictures,2.0,4.0,,3.0,PG-13,3.0,3.0,,2.0,,14,Romance,2465,Mostly predictable romance has lots of drinking.,2,words-and-pictures,2,0,0,0
God's Pocket,0.0,4.0,,4.0,R,0.0,5.0,,4.0,,17,Drama,2466,"Edgy drama has good performances but is thin, depressing.",2,gods-pocket,3,0,0,0
The Hornet's Nest,0.0,2.0,,4.0,R,2.0,0.0,,3.0,,16,Documentary,2467,Powerful war documentary concentrates on emotion.,4,the-hornets-nest,3,0,0,0
The Last Passenger,0.0,1.0,,4.0,R,2.0,1.0,,3.0,,15,Thriller,2468,Taut train thriller's main issue is strong language.,3,the-last-passenger,3,0,0,0
The Amityville Horror,1.0,1.0,,2.0,R,0.0,3.0,,4.0,,16,Horror,2469,'70s horror movie hasn't aged well; violence and peril.,2,the-amityville-horror,3,0,0,0
Lalaloopsy Girls: Welcome to L.A.L.A Prep School,4.0,0.0,0.0,0.0,NR,2.0,0.0,0.0,0.0,0.0,4,Family and Kids,2470,Dolls now teens in sweet but vapid tale for preschoolers.,2,lalaloopsy-girls-welcome-to-lala-prep-school,4,1,1,1
They Came Together,0.0,2.0,,4.0,R,2.0,4.0,,2.0,,17,Comedy,2471,"Predictable romcom send-up has racy sex scenes, language.",2,they-came-together,3,0,0,0
From the Rough,1.0,0.0,,2.0,PG,5.0,0.0,,1.0,,10,Drama,2472,"Solid sports tale has positive messages, feel-good themes.",3,from-the-rough,1,0,0,0
R.L. Stine's Mostly Ghostly: Have You Met My Ghoulfriend?,1.0,0.0,,1.0,PG,1.0,0.0,,2.0,,9,Family and Kids,2473,Bland R.L. Stine entry is more silly than spooky.,2,rl-stines-mostly-ghostly-have-you-met-my-ghoulfriend,1,0,0,0
Amazon Jack,0.0,0.0,1.0,1.0,NR,2.0,0.0,0.0,0.0,3.0,8,Family and Kids,2474,"Pro-animal-rights film a bit harsh, perilous for young kids.",2,amazon-jack,4,1,1,1
Draft Day,3.0,2.0,,4.0,PG-13,3.0,2.0,,0.0,,14,Drama,2475,Sports fans will cheer for intense football drama.,3,draft-day,2,0,0,0
Moms' Night Out,2.0,2.0,,1.0,PG,2.0,1.0,,2.0,,11,Comedy,2476,Bland faith-based comedy supports traditional gender roles.,2,moms-night-out,1,0,0,0
Tom and Jerry: The Lost Dragon,1.0,0.0,0.0,0.0,NR,2.0,0.0,1.0,0.0,3.0,6,Family and Kids,2477,"Lots of cartoon mayhem, pratfalls in comic baby-dragon tale.",3,tom-and-jerry-the-lost-dragon,4,1,1,1
Night Moves,2.0,1.0,,4.0,R,3.0,4.0,,3.0,,16,Drama,2478,"Radical-environmentalism drama is thoughtful, slightly edgy.",4,night-moves,3,0,0,0
Geraldine Ferraro: Paving the Way,0.0,1.0,,1.0,NR,4.0,0.0,,0.0,,14,Documentary,2479,Earnest docu paints inspiring picture of feminist pioneer.,3,geraldine-ferraro-paving-the-way,4,0,0,0
The Double,0.0,1.0,,4.0,R,1.0,2.0,,3.0,,17,Drama,2480,"Bleak, bizarre dystopian comedy based on Dostoyevsky story.",4,the-double,3,0,0,0
Trust Me,1.0,3.0,,4.0,R,0.0,2.0,,3.0,,16,Comedy,2481,Interesting characters almost keep not-great movie afloat.,2,trust-me,3,0,0,0
The Normal Heart,0.0,3.0,,4.0,NR,3.0,5.0,,3.0,,17,Drama,2482,Raw look at HIV/AIDS fight is hard to watch -- but worth it.,4,the-normal-heart,4,0,0,0
Adventure Planet,0.0,0.0,4.0,1.0,PG,5.0,0.0,0.0,0.0,3.0,8,Family and Kids,2483,Pro-earth animated tale with strong messages and some peril.,3,adventure-planet,1,1,1,1
Legends of Oz: Dorothy's Return,3.0,0.0,2.0,0.0,PG,3.0,0.0,0.0,0.0,3.0,6,Family and Kids,2484,"Kids will like well-intentioned sequel, but it lacks magic.",3,legends-of-oz-dorothys-return,1,1,1,1
Blended,3.0,2.0,,3.0,PG-13,2.0,3.0,,1.0,,15,Comedy,2485,Predictable Sandler/Barrymore comedy has lots of sex jokes.,2,blended,2,0,0,0
Belle,0.0,1.0,,1.0,PG,4.0,1.0,,2.0,,11,Drama,2486,"Important, affecting, engrossing drama for tweens and up.",4,belle,1,0,0,0
It's a Zoo in Here,0.0,0.0,0.0,1.0,NR,2.0,0.0,1.0,0.0,1.0,7,Family and Kids,2487,Monkey caper is cute and clean but has muddled plot.,2,its-a-zoo-in-here,4,1,1,1
The Quiet Ones,0.0,3.0,,4.0,PG-13,0.0,4.0,,4.0,,16,Horror,2488,Loud jump shocks and blood in irritating horror movie.,2,the-quiet-ones,2,0,0,0
The Sacrament,0.0,3.0,,4.0,R,1.0,2.0,,4.0,,18,Horror,2489,Thriller from cult-fave director is uneven yet effective.,3,the-sacrament,3,0,0,0
Ace Wonder,1.0,0.0,,0.0,PG,1.0,0.0,,3.0,,10,Family and Kids,2490,"Painfully slow, often confusing mystery has some violence.",1,ace-wonder,1,0,0,0
A Brony Tale,3.0,1.0,,0.0,NR,3.0,0.0,,0.0,,12,Documentary,2491,Cheery docu dispels stereotypes of male My Little Pony fans.,3,a-brony-tale,4,0,0,0
Toy Story of TERROR!,4.0,0.0,1.0,0.0,G,4.0,0.0,0.0,0.0,3.0,6,Family and Kids,2492,Horror film-themed TV special is sweet treat for families.,5,toy-story-of-terror,0,1,1,1
Rosemary's Baby,0.0,1.0,,2.0,NR,0.0,2.0,,4.0,,16,Drama,2493,"Ultimate pregnancy scare miniseries is bloody, gross.",3,rosemarys-baby-0,4,0,0,0
Scooby-Doo! Frankencreepy,2.0,0.0,0.0,0.0,NR,1.0,0.0,0.0,0.0,3.0,7,Family and Kids,2494,Lots of comic action and silly scares in amusing tale.,3,scooby-doo-frankencreepy,4,1,1,1
Home Is Where the Heart Is,2.0,4.0,,2.0,PG-13,1.0,2.0,,3.0,,13,Drama,2495,"Heavy family drama with tragedy, substance abuse.",2,home-is-where-the-heart-is,2,0,0,0
The Amazing Spider-Man 2,4.0,0.0,,2.0,PG-13,3.0,1.0,,3.0,,12,Action/Adventure,2496,"Uneven Spider-Man sequel mixes action, romance.",3,the-amazing-spider-man-2,2,0,0,0
My Online Bride,3.0,2.0,,3.0,NR,0.0,2.0,,0.0,,14,Documentary,2497,"Unbalanced docu about mail-order brides has cursing, sex.",2,my-online-bride,4,0,0,0
Hateship Loveship,2.0,3.0,,4.0,R,1.0,3.0,,0.0,,17,Drama,2498,"Slow-moving drama has some sex, drinking, language.",2,hateship-loveship,3,0,0,0
A Haunted House 2,1.0,4.0,,5.0,R,0.0,4.0,,4.0,,17,Comedy,2499,"Dumb, unfunny, offensive horror spoof sequel.",1,a-haunted-house-2,3,0,0,0
Locke,2.0,1.0,,4.0,R,2.0,1.0,,1.0,,15,Thriller,2500,Taut one-man drama explores faulty human relationships.,4,locke,3,0,0,0
Filth,0.0,5.0,,5.0,R,0.0,5.0,,3.0,,18,Drama,2501,"Extreme sex, booze, drugs, swearing in crooked-cop story.",3,filth,3,0,0,0
Rage,0.0,3.0,,4.0,NR,0.0,2.0,,4.0,,16,Thriller,2502,"Violent, downbeat thriller is a low point for Nicolas Cage.",1,rage,4,0,0,0
Eleanor's Secret,0.0,0.0,0.0,1.0,NR,3.0,0.0,0.0,0.0,2.0,5,Family and Kids,2503,"Reading saves the day in charming, mildly perilous tale.",4,eleanors-secret,4,1,1,1
Dancing in Jaffa,0.0,1.0,,2.0,NR,5.0,0.0,,2.0,,12,Documentary,2504,Uplifting docu promotes religious tolerance via dance.,4,dancing-in-jaffa,4,0,0,0
Coming Home for Christmas,0.0,0.0,,0.0,NR,4.0,0.0,,1.0,,10,Family and Kids,2505,Sentimental holiday fare with strong messages about family.,3,coming-home-for-christmas,4,0,0,0
Muppets Most Wanted,3.0,1.0,1.0,1.0,PG,3.0,0.0,1.0,0.0,2.0,6,Family and Kids,2506,"Amusing Muppets sequel ups the gags, as well as the action.",4,muppets-most-wanted,1,1,1,1
Frankie &amp; Alice,1.0,3.0,,4.0,R,1.0,4.0,,3.0,,17,Drama,2507,Multiple-personality drama is gritty but well-acted.,3,frankie-alice,3,0,0,0
Breathe In,0.0,4.0,,3.0,R,0.0,3.0,,3.0,,16,Drama,2508,"Midlife crises, affairs, teen drinking, sex in indie drama.",3,breathe-in,3,0,0,0
Bears,0.0,0.0,3.0,0.0,G,3.0,0.0,1.0,0.0,2.0,6,Documentary,2509,Some tense moments in Disney's nature documentary.,4,bears,0,1,1,1
The Railway Man,0.0,1.0,,0.0,R,1.0,1.0,,4.0,,16,Drama,2510,Former POW can't shake wartime cruelty in sluggish drama.,2,the-railway-man,3,0,0,0
Saints and Soldiers,0.0,2.0,,1.0,PG-13,3.0,0.0,,4.0,,14,Drama,2511,"Thoughtful, engaging World War II movie has battle violence.",3,saints-and-soldiers,2,0,0,0
Raising Izzie,0.0,1.0,,1.0,NR,3.0,1.0,,1.0,,12,Drama,2512,"Intense movie about orphans heavy on grief, faith.",3,raising-izzie,4,0,0,0
Oculus,1.0,2.0,,3.0,R,1.0,1.0,,4.0,,18,Horror,2513,"Outstanding horror flick has gore, children in peril.",4,oculus,3,0,0,0
Ping Pong Summer,3.0,1.0,,3.0,NR,3.0,2.0,,2.0,,13,Comedy,2514,"Summer coming-of-age tale is high on nostalgia, low on plot.",3,ping-pong-summer,4,0,0,0
Anna,0.0,3.0,,3.0,R,1.0,3.0,,3.0,,16,Thriller,2515,"Twisty ""memory"" thriller is too uneven to be memorable.",3,anna,3,0,0,0
Sofia the First: The Enchanted Feast,3.0,0.0,0.0,0.0,NR,4.0,0.0,0.0,0.0,0.0,3,Family and Kids,2516,Plucky young princess learns lessons in engaging tales.,4,sofia-the-first-the-enchanted-feast,4,1,1,1
The Perfect Summer,0.0,1.0,,0.0,NR,2.0,0.0,,2.0,,11,Drama,2517,"Wholesome surf drama has positive messages, some bullying.",3,the-perfect-summer,4,0,0,0
VeggieTales: Celery Night Fever,0.0,0.0,1.0,1.0,NR,3.0,0.0,0.0,0.0,0.0,4,Family and Kids,2518,Lively Christian tale tackles friendship and forgiveness.,4,veggietales-celery-night-fever,4,1,1,1
Stephanie in the Water,0.0,0.0,,3.0,NR,3.0,0.0,,1.0,,13,Documentary,2519,"Surfer docu has dark moments but stays light, uplifting.",3,stephanie-in-the-water,4,0,0,0
The Boxcar Children,0.0,0.0,1.0,0.0,G,5.0,0.0,0.0,0.0,1.0,7,Family and Kids,2520,"Beautiful, moving cartoon tale based on classic book series.",4,the-boxcar-children,0,1,1,1
Need for Speed,1.0,1.0,,3.0,PG-13,0.0,3.0,,3.0,,14,Action/Adventure,2521,"Fast-paced stunts, dangerous driving will thrill teens.",4,need-for-speed,2,0,0,0
God's Not Dead,3.0,1.0,,0.0,PG,3.0,0.0,,2.0,,10,Drama,2522,Earnest faith-based drama is heavy on dogma.,2,gods-not-dead,1,0,0,0
Divergent,0.0,0.0,,2.0,PG-13,3.0,2.0,,4.0,,14,Action/Adventure,2523,Strong female character leads in violent dystopia.,3,divergent,2,0,0,0
In the Name of God,0.0,0.0,,0.0,PG,5.0,0.0,,0.0,,11,Drama,2524,Faith-based messages instruct more than entertain.,2,in-the-name-of-god,1,0,0,0
The Protector 2,1.0,1.0,,4.0,R,0.0,2.0,,4.0,,17,Action/Adventure,2525,Extremely poor martial arts sequel has strong violence.,1,the-protector-2,3,0,0,0
Lullaby,1.0,3.0,,4.0,R,3.0,2.0,,1.0,,16,Drama,2526,Family reunites for dying dad in warm drama; some swearing.,3,lullaby,3,0,0,0
The Other Woman,3.0,3.0,,3.0,PG-13,2.0,3.0,,2.0,,16,Comedy,2527,"Female buddy comedy OK for older teens; some sex, drinking.",3,the-other-woman-0,2,0,0,0
Noah,0.0,1.0,,1.0,PG-13,3.0,2.0,,4.0,,15,Action/Adventure,2528,"Dark biblical tale is brutal, violent, gory.",3,noah,2,0,0,0
Iron Man &amp; Captain America: Heroes United,3.0,0.0,,0.0,NR,1.0,0.0,,3.0,,10,Action/Adventure,2529,Frequent cartoon violence in action-packed superhero tale.,3,iron-man-captain-america-heroes-united,4,0,0,0
Cuban Fury,2.0,3.0,,4.0,R,3.0,3.0,,2.0,,16,Comedy,2530,"Warm, funny dance romcom has language, sexual references.",3,cuban-fury,3,0,0,0
Transcendence,2.0,2.0,,3.0,PG-13,2.0,1.0,,3.0,,14,Science Fiction,2531,"Dark, pretentious sci-fi thriller tackles big questions.",2,transcendence,2,0,0,0
Dom Hemingway,0.0,4.0,,5.0,R,1.0,4.0,,4.0,,18,Comedy,2532,"Foul-mouthed character charms, but he's too edgy for teens.",4,dom-hemingway,3,0,0,0
Heaven Is for Real,2.0,0.0,,0.0,PG,3.0,1.0,,1.0,,9,Drama,2533,Extremely earnest drama explores issues of family and faith.,3,heaven-is-for-real,1,0,0,0
Make Your Move,2.0,2.0,,3.0,PG-13,2.0,3.0,,2.0,,14,Romance,2534,Star-crossed dance romance doesn't have the best moves.,2,make-your-move,2,0,0,0
All Cheerleaders Die,1.0,4.0,,4.0,NR,0.0,4.0,,5.0,,18,Horror,2535,Would-be horror comedy is just mean and awful.,1,all-cheerleaders-die,4,0,0,0
Next Goal Wins,3.0,0.0,,3.0,NR,5.0,1.0,,0.0,,14,Documentary,2536,"Captivating, moving sports docu; some swearing.",4,next-goal-wins,4,0,0,0
An American Girl: Isabelle Dances into the Spotlight,2.0,0.0,2.0,1.0,G,4.0,0.0,0.0,0.0,1.0,6,Family and Kids,2537,Young dancer learns lessons in sweet live-action movie.,4,an-american-girl-isabelle-dances-into-the-spotlight,0,1,1,1
Made in America,3.0,2.0,,4.0,NR,1.0,2.0,,2.0,,14,Documentary,2538,Jay-Z music-fest docu fun for music lovers; strong language.,3,made-in-america,4,0,0,0
Justin and the Knights of Valor,0.0,1.0,0.0,1.0,PG,1.0,0.0,0.0,0.0,3.0,7,Family and Kids,2539,Predictable animated swashbuckler with a few chuckles.,2,justin-and-the-knights-of-valor,1,1,1,1
Antboy,0.0,0.0,,1.0,PG,3.0,0.0,,2.0,,10,Action/Adventure,2540,Some iffy humor in quirky Danish tween superhero movie.,4,antboy,1,0,0,0
Cesar Chavez,0.0,2.0,,3.0,PG-13,4.0,1.0,,3.0,,13,Drama,2541,"Plodding labor leader biopic shows protests, beatings.​",2,cesar-chavez,2,0,0,0
Sabotage,1.0,4.0,,5.0,R,0.0,4.0,,5.0,,18,Action/Adventure,2542,"Extremely violent Schwarzenegger flick with drugs, language.",3,sabotage,3,0,0,0
The Angriest Man in Brooklyn,0.0,3.0,,5.0,R,3.0,4.0,,2.0,,17,Drama,2543,"Vulgar, stressful movie is a chore, despite worthy message.",2,the-angriest-man-in-brooklyn,3,0,0,0
The Single Moms Club,0.0,2.0,,2.0,PG-13,3.0,2.0,,1.0,,15,Comedy,2544,Sisterhood drama skims surface of serious issues.,2,the-single-moms-club,2,0,0,0
The Virgins,0.0,1.0,,2.0,NR,0.0,3.0,,1.0,,14,Comedy,2545,"Faith-based comedy promotes abstinence, has some profanity.",2,the-virgins,4,0,0,0
Mixed Signals,2.0,4.0,,3.0,NR,0.0,2.0,,1.0,,16,Drama,2546,"'90s coming-of-age drama has smoking, drinking, cursing.",3,mixed-signals,4,0,0,0
Under the Skin,1.0,1.0,,1.0,R,0.0,5.0,,4.0,,18,Thriller,2547,"Tense, slick thriller is creepy, with full nudity.",3,under-the-skin,3,0,0,0
Labyrinth,0.0,1.0,,1.0,NR,1.0,3.0,,4.0,,16,Action/Adventure,2548,"Novel-inspired miniseries entertains, but is very violent.",3,labyrinth-0,4,0,0,0
The Junior Spy Agency,0.0,0.0,0.0,1.0,NR,1.0,0.0,0.0,0.0,1.0,7,Family and Kids,2549,Kid-friendly spy parody is silly but very predictable.,2,the-junior-spy-agency,4,1,1,1
Barney: A Super Dee-Duper Day,2.0,0.0,3.0,0.0,NR,3.0,0.0,0.0,0.0,0.0,2,Family and Kids,2550,"Dino teaches kids how to be good friends, stay active.",3,barney-a-super-dee-duper-day,4,1,1,1
Rio 2,2.0,1.0,2.0,1.0,G,4.0,0.0,1.0,0.0,3.0,6,Family and Kids,2551,Catchy music and just a few predators in fun sequel.,3,rio-2,0,1,1,1
Underwater Dreams,1.0,0.0,,3.0,NR,4.0,0.0,,0.0,,10,Documentary,2552,Inspiring story about an underdog high school robotics team.,4,underwater-dreams,4,0,0,0
Bad Words,1.0,3.0,,4.0,R,1.0,3.0,,2.0,,17,Comedy,2553,Comedy best for older teens gets laughs with offbeat humor.,3,bad-words,3,0,0,0
The Raid 2,0.0,1.0,,4.0,R,0.0,4.0,,5.0,,17,Action/Adventure,2554,"Amazing fights, brutal violence in undercover cop tale.",4,the-raid-2,3,0,0,0
Emoticon,2.0,3.0,,3.0,NR,3.0,2.0,,1.0,,15,Drama,2555,Human connections trump technology in social-media drama.,3,emoticon,4,0,0,0
Maidentrip,0.0,0.0,,3.0,NR,5.0,0.0,,0.0,,13,Documentary,2556,Excellent docu about teen sailor; some brief profanity.,5,maidentrip,4,0,0,0
Ragamuffin,0.0,3.0,,2.0,PG-13,2.0,0.0,,2.0,,13,Drama,2557,Thoughtful faith-driven film on Christian artist is intense.,4,ragamuffin,2,0,0,0
The Legend of Sarila,0.0,0.0,1.0,1.0,NR,4.0,0.0,0.0,0.0,2.0,7,Family and Kids,2558,Adventure tale about Inuit youths is spirited but perilous.,3,the-legend-of-sarila,4,1,1,1
Agent F.O.X.,0.0,0.0,,0.0,G,2.0,0.0,0.0,0.0,2.0,7,Family and Kids,2559,"Slapstick-y Chinese animal caper is tedious, confusing.",2,agent-fox,0,0,1,1
Monster High: Fright On!,3.0,0.0,1.0,1.0,NR,3.0,0.0,1.0,0.0,1.0,7,Family and Kids,2560,Toy-inspired movie has strong messages but iffy body images.,3,monster-high-fright-on,4,1,1,1
Cowspiracy,0.0,0.0,,1.0,NR,4.0,0.0,,3.0,,13,Documentary,2561,Provocative docu has some graphic scenes of animal cruelty.,4,cowspiracy,4,0,0,0
Winter's Tale,1.0,1.0,,3.0,PG-13,3.0,3.0,,3.0,,14,Drama,2562,Disappointing book-based fantasy-drama has heavy themes.,2,winters-tale,2,0,0,0
Wolf Creek 2,0.0,2.0,,5.0,NR,0.0,2.0,,5.0,,18,Horror,2563,"Heavy gore, language, and clichés in dumb slasher sequel.",2,wolf-creek-2,4,0,0,0
Jason Nash Is Married,0.0,4.0,,4.0,NR,1.0,3.0,,1.0,,16,Comedy,2564,"Emotionally raw comedy exploring divorce is edgy, intense.",4,jason-nash-is-married,4,0,0,0
A Fine Step,0.0,0.0,,1.0,PG,3.0,1.0,,2.0,,11,Drama,2566,Thoughtful tale of horses and grief has some peril.,3,a-fine-step,1,0,0,0
300: Rise of an Empire,0.0,0.0,,4.0,R,1.0,4.0,,5.0,,17,Action/Adventure,2567,"Sequel with stylized bloody battles, sex, and vengeance.",2,300-rise-of-an-empire,3,0,0,0
Enemy,0.0,2.0,,4.0,R,0.0,4.0,,2.0,,18,Thriller,2568,"Mind-bending, surreal mystery with sex and language.",4,enemy,3,0,0,0
The Soccer Nanny,0.0,3.0,,3.0,NR,1.0,3.0,,2.0,,13,Drama,2569,Slow-paced dramedy with mature themes isn't about soccer.,2,the-soccer-nanny,4,0,0,0
The Grand Budapest Hotel,0.0,2.0,,4.0,R,3.0,3.0,,3.0,,16,Comedy,2570,"Witty, whimsical farce with some cartoonish violence.",4,the-grand-budapest-hotel,3,0,0,0
Joe,2.0,4.0,,4.0,R,0.0,4.0,,4.0,,18,Drama,2571,Indie drama is well made but extremely grim and brutal.,4,joe,3,0,0,0
Authors Anonymous,2.0,2.0,,3.0,PG-13,0.0,2.0,,1.0,,13,Comedy,2572,Tiresome ensemble comedy pokes fun at publishing industry.,1,authors-anonymous,2,0,0,0
Ernest &amp; Celestine,0.0,0.0,1.0,1.0,PG,3.0,0.0,0.0,0.0,2.0,6,Family and Kids,2573,Touching animated story celebrates unlikely friendships.,4,ernest-celestine,1,1,1,1
The Lego Movie,5.0,0.0,1.0,1.0,PG,4.0,0.0,1.0,0.0,2.0,6,Family and Kids,2574,Hilarious toy tale plugs product but is nonstop fun.,4,the-lego-movie,1,1,1,1
Flatliners (1990),1.0,3.0,,4.0,R,0.0,3.0,,4.0,,17,Thriller,2575,'90s thriller about near-death experiences is very violent.,3,flatliners-1990,3,0,0,0
Walk of Shame,2.0,3.0,,4.0,R,1.0,3.0,,3.0,,17,Comedy,2576,Raunchy one-night-stand comedy relies on stereotypes.,1,walk-of-shame,3,0,0,0
The Secret Lives of Dorks,1.0,1.0,,3.0,PG-13,2.0,3.0,,1.0,,14,Comedy,2577,Tedious teen comedy hits every high-school-clique cliché.,2,the-secret-lives-of-dorks,2,0,0,0
Adult World,1.0,3.0,,2.0,R,2.0,2.0,,2.0,,17,Drama,2578,So-so coming-of-age film set in porn rental store.,2,adult-world,3,0,0,0
Non-Stop,1.0,2.0,,3.0,PG-13,1.0,2.0,,4.0,,14,Thriller,2579,"Tense, formulaic, action-packed thriller set on a plane.",2,non-stop,2,0,0,0
Devil's Knot,0.0,1.0,,3.0,NR,1.0,1.0,,3.0,,15,Drama,2580,"Bleak, disappointing retelling of powerful true story.",2,devils-knot,4,0,0,0
Slugterra: Ghoul from Beyond,3.0,0.0,0.0,1.0,NR,2.0,0.0,0.0,0.0,3.0,7,Family and Kids,2581,"Nonstop battles in 44-minute ""movie"" based on TV show.",2,slugterra-ghoul-from-beyond,4,1,1,1
The Great Bear,0.0,0.0,,0.0,PG,4.0,0.0,,4.0,,10,Family and Kids,2582,"Captivating, moving tale with scares; best for older kids.",4,the-great-bear,1,0,0,0
Perfect Sisters,0.0,5.0,,3.0,NR,0.0,3.0,,4.0,,17,Drama,2583,"Murder, booze, drugs in melodramatic true-crime movie.",2,perfect-sisters,4,0,0,0
The Short Game,2.0,0.0,3.0,2.0,PG,4.0,0.0,0.0,0.0,0.0,7,Documentary,2584,"Fabulous, kid-friendly docu about world's youngest golfers.",4,the-short-game,1,1,1,1
Jack Ryan: Shadow Recruit,2.0,2.0,,4.0,PG-13,1.0,2.0,,3.0,,15,Action/Adventure,2585,Clancy-based political thriller has moderate violence.,3,jack-ryan-shadow-recruit,2,0,0,0
Lucky Duck,0.0,0.0,2.0,0.0,NR,5.0,0.0,0.0,0.0,1.0,4,Family and Kids,2586,Cute movie uses mild bullying to promote self-esteem.,4,lucky-duck,4,1,1,1
