title,Consumerism,"Drinking, Drugs & Smoking",Educational Value,Language,MPAA_rating,Positive Messages,Sex,Sexy Stuff,Violence,Violence & Scariness,age,genre,movie_id,one_line_description,overall_rating,slug,MPAA_ordinal,is_educational,has_Sexy_Stuff,has_Violence_&_Scariness
Alex Strangelove,1.0,3.0,,5.0,NR,3.0,3.0,,1.0,,16,Comedy,33,"Comedy with heart about teen sexuality; language, drinking.",3,alex-strangelove,4,0,0,0
The Valley,1.0,4.0,,4.0,R,3.0,2.0,,3.0,,15,Drama,34,Teen suicide drama aims for parental prevention.,3,the-valley,3,0,0,0
Won't You Be My Neighbor?,1.0,1.0,,2.0,PG-13,5.0,2.0,,3.0,,10,Documentary,35,"Profound, poignant biography of an extraordinary, kind man.",5,wont-you-be-my-neighbor,2,0,0,0
Ocean's 8,4.0,3.0,,3.0,PG-13,2.0,2.0,,1.0,,13,Comedy,36,"Breezy heist comedy has fab cast, some iffy behavior.",3,oceans-8,2,0,0,0
Hereditary,0.0,4.0,,4.0,R,0.0,4.0,,5.0,,17,Horror,37,"Clammy, deeply unsettling horror movie is very scary.",4,hereditary,3,0,0,0
Hotel Artemis,0.0,3.0,,4.0,R,1.0,2.0,,4.0,,16,Action/Adventure,38,"Lots of violence, strong language in sci-fi actioner.",3,hotel-artemis,3,0,0,0
Hearts Beat Loud,3.0,4.0,,3.0,PG-13,3.0,3.0,,0.0,,14,Drama,39,Coming-of-age dramedy finds family harmony amid upheaval.,4,hearts-beat-loud,2,0,0,0
Zoo,0.0,1.0,,3.0,PG,4.0,0.0,,3.0,,10,Drama,40,Heartwarming fact-based WWII drama has sad moments.,4,zoo,1,0,0,0
A Wrinkle in Time,0.0,0.0,,1.0,PG,4.0,1.0,,3.0,,10,Family and Kids,41,"Inclusive but imperfect take on classic story of hope, love.",3,a-wrinkle-in-time,1,0,0,0
Freak Show,0.0,2.0,,3.0,NR,4.0,1.0,,3.0,,13,Comedy,42,Witty empowerment story deals with teen homophobia.,4,freak-show,4,0,0,0
Every Day,2.0,3.0,,3.0,PG-13,4.0,3.0,,2.0,,13,Romance,43,"Book-based teen romance has messages of empathy, diversity.",3,every-day-0,2,0,0,0
Death Wish,1.0,2.0,,4.0,R,1.0,2.0,,5.0,,17,Action/Adventure,44,"Pointless, thoughtless, extremely violent vigilante remake.",1,death-wish,3,0,0,0
The Hurricane Heist,1.0,2.0,,3.0,PG-13,3.0,1.0,,3.0,,13,Action/Adventure,45,"Stormy action movie mixes gunplay, disaster-movie peril.",3,the-hurricane-heist,2,0,0,0
Gringo,2.0,3.0,,5.0,R,2.0,4.0,,4.0,,17,Action/Adventure,46,"Strong language, drug content in over-the-top action-comedy.",3,gringo,3,0,0,0
Supercon,0.0,3.0,,5.0,R,1.0,4.0,,1.0,,16,Comedy,47,"Constant swearing, crude talk in low-rent heist comedy.",2,supercon,3,0,0,0
Thoroughbreds,2.0,3.0,,4.0,R,1.0,2.0,,3.0,,16,Drama,48,"Well-acted amorality tale explores youth, privilege, murder.",3,thoroughbreds,3,0,0,0
Kid West,0.0,1.0,1.0,2.0,NR,2.0,0.0,0.0,0.0,2.0,8,Family and Kids,49,"Feisty girl solves a mystery; mild action, kids in peril.",2,kid-west,4,1,1,1
Adrift,1.0,2.0,,3.0,PG-13,4.0,4.0,,3.0,,14,Drama,50,Intense survival-romance story is cheerless and clichéd.,2,adrift,2,0,0,0
Action Point,0.0,4.0,,4.0,R,1.0,5.0,,4.0,,17,Comedy,51,Chaos and bodily harm in unruly but likable comedy.,3,action-point,3,0,0,0
Upgrade,0.0,2.0,,4.0,R,1.0,1.0,,5.0,,17,Thriller,52,Extreme violence in inventive sci-fi actioner.,4,upgrade,3,0,0,0
American Animals,1.0,3.0,,4.0,R,2.0,2.0,,3.0,,15,Thriller,53,"Smart, energetic tale of attempted heist; cursing, violence.",4,american-animals,3,0,0,0
A Kid Like Jake,3.0,1.0,,4.0,R,3.0,2.0,,2.0,,14,Drama,54,"Talky, underwhelming drama addresses kid gender identity.",2,a-kid-like-jake,3,0,0,0
Annihilation,0.0,1.0,,4.0,R,1.0,3.0,,4.0,,16,Science Fiction,55,"Amazing but challenging, violent sci-fi isn't for everyone.",4,annihilation,3,0,0,0
Paws P.I.,1.0,0.0,0.0,1.0,PG,1.0,0.0,0.0,0.0,2.0,8,Family and Kids,56,"Talking animals, slapstick jeopardy in live-action misfire.",1,paws-pi,1,1,1,1
Ibiza,0.0,5.0,,5.0,NR,0.0,5.0,,2.0,,17,Comedy,57,"Sex and drugs in stale, raunchy romcom.",2,ibiza,4,0,0,0
Solo: A Star Wars Story,1.0,2.0,,2.0,PG-13,3.0,2.0,,3.0,,10,Science Fiction,58,"Satisfying, action-packed prequel explores Han's roots.",4,solo-a-star-wars-story,2,0,0,0
Mary Shelley,0.0,3.0,,1.0,PG-13,3.0,3.0,,2.0,,13,Drama,59,Interesting but uneven drama about famous female author.,3,mary-shelley,2,0,0,0
Future World,0.0,4.0,,4.0,R,1.0,4.0,,4.0,,16,Action/Adventure,60,"Language, violence, nudity in postapocalyptic bore.",1,future-world,3,0,0,0
How to Talk to Girls at Parties,0.0,3.0,,4.0,R,1.0,5.0,,2.0,,17,Science Fiction,61,"Aliens, sex, and punk in offbeat potential cult classic.",3,how-to-talk-to-girls-at-parties,3,0,0,0
In Darkness,0.0,1.0,,3.0,NR,0.0,4.0,,4.0,,16,Thriller,62,"Interesting premise, but violent thriller disappoints.",2,in-darkness,4,0,0,0
The 15:17 to Paris,2.0,2.0,,3.0,PG-13,3.0,2.0,,4.0,,14,Drama,63,Real-life terror attack drama is both awkward and effective.,3,the-1517-to-paris,2,0,0,0
Early Man,0.0,0.0,2.0,2.0,PG,4.0,0.0,1.0,0.0,3.0,6,Family and Kids,64,"Charming prehistoric tribute to ""sacred game"" of soccer.",4,early-man,1,1,1,1
The Party,0.0,3.0,,4.0,R,0.0,2.0,,2.0,,16,Drama,65,Smart but shrill ensemble dramedy has mature content.,2,the-party,3,0,0,0
Wonderstruck,0.0,2.0,,1.0,PG,4.0,1.0,,2.0,,9,Family and Kids,66,"Thoughtful, arty take on excellent Selznick novel.",4,wonderstruck,1,0,0,0
Game Night,2.0,1.0,,4.0,R,1.0,2.0,,3.0,,16,Comedy,67,"Over-the-top comedy has strong language, bloody violence.",4,game-night,3,0,0,0
Red Sparrow,0.0,2.0,,4.0,R,0.0,5.0,,5.0,,17,Thriller,68,"Graphic violence, sex in dull Jennifer Lawrence thriller.",2,red-sparrow,3,0,0,0
